TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Beta_AF8,Beta_TP9
11:14.5,0.5935962,0.7328346,-0.30746427,0.82649595,0.5670351,0.14626896,-0.19507658,0.2852123,0.8120225,0.33714607,-0.060994055,0.56607896,0.56066334,0.34863314,0.5868397,0.45262685,0.03394438,0.46473923,0.20058708,-0.0784291,785.7143,769.19415,808.68134,774.83514,596.7399,-0.036987305,0.096313477,0.987976074,-1.09161377,0.119628906,-2.534637451,1,2,1,1,2,97,,0.5868397,0.56066334
11:15.5,0.9227737,0.80552715,0.328473,0.82649595,0.3796416,0.14548998,0.13086629,0.2852123,0.9902787,0.12082505,0.18610275,0.56607896,0.58312446,0.31733787,0.4186759,0.45262685,0.5817558,0.467936,0.2635639,-0.0784291,774.43225,792.5641,798.20514,781.28204,773.22345,-0.060913086,0.098388672,0.995422363,-0.949554443,-2.385101318,-9.734802246,1,1,1,1,1,97,,0.4186759,0.58312446
11:16.5,0.86154705,0.39033788,0.034093305,0.9262825,0.44080582,-0.33474988,-0.15460846,0.64037645,1.2931391,0.56293607,0.27676627,0.8896275,0.6847648,0.41858807,0.16037022,0.5628811,0.5148421,0.25998756,0.21151277,0.27997154,785.31134,784.5055,792.5641,813.91943,930.3663,-0.074645996,0.097839355,0.96105957,0.321502686,-2.96081543,-0.119628906,1,1,1,1,1,97,,0.16037022,0.6847648
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:17.5,0.58876497,0.7189618,-0.04632457,0.8797698,0.1648193,0.36270505,-0.5312426,0.66292036,1.209712,0.6912581,0.20580116,0.81343174,0.5718253,0.60456675,0.061422892,0.5422403,0.28336444,0.54070383,0.06705715,0.35280868,808.2784,805.05493,802.23444,789.7436,902.5641,-0.021118164,0.023010254,0.990112305,0.91217041,-7.200164795,-3.028106689,1,1,1,1,1,97,,0.061422892,0.5718253
11:18.6,0.6447163,0.5562219,0.02465111,0.8797698,-0.08193661,0.18763986,-0.59628475,0.66292036,1.167151,0.5276189,0.045849033,0.81343174,0.5147393,0.5522878,0.09781432,0.5422403,0.2553704,0.5090107,0.07304486,0.35280868,814.3223,806.6667,827.2161,794.9817,570.14655,0.020080566,-0.00378418,0.971679688,3.401947021,-7.880554199,-1.233673096,1,1,1,1,1,97,,0.09781432,0.5147393
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:19.6,0.6447163,0.25572646,0.02465111,0.8797698,-0.08193661,-0.05209393,-0.59628475,0.66292036,1.167151,0.4921777,0.045849033,0.81343174,0.5147393,0.31217188,0.09781432,0.5422403,0.2553704,0.33622998,0.07304486,0.35280868,799.81683,801.02563,798.60803,800.6227,823.9927,0.03326416,0.015075684,0.988098145,0.904693604,-0.261688232,0.545806885,1,2,1,1,2,97,,0.09781432,0.5147393
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:20.6,0.6447163,0.27499673,0.02465111,0.8797698,-0.08193661,0.08851093,-0.59628475,0.66292036,1.167151,0.36696297,0.045849033,0.81343174,0.5147393,0.3523551,0.09781432,0.5422403,0.2553704,0.25657535,0.07304486,0.35280868,817.5458,786.9231,797.8022,803.8461,667.6557,0.021118164,0.026611328,0.979125977,-0.710296631,-0.785064697,-0.687866211,1,2,1,1,2,97,,0.09781432,0.5147393
11:21.6,0.6447163,0.32755053,0.02465111,0.8797698,-0.08193661,0.31904286,-0.59628475,0.66292036,1.167151,0.4580505,0.045849033,0.81343174,0.5147393,0.40794608,0.09781432,0.5422403,0.2553704,0.35789335,0.07304486,0.35280868,778.86444,779.2674,790.9524,778.0586,840.9158,0.01373291,0.018676758,0.97442627,0.029907227,-2.063598633,-0.657958984,1,2,1,1,2,97,,0.09781432,0.5147393
11:22.6,0.48975685,0.5937071,-0.31858066,0.8797698,0.14564094,0.19267301,-0.05133929,0.66292036,0.68490356,0.4930096,0.45893756,0.81343174,0.51095974,0.24542692,0.39575535,0.5422403,0.49719995,0.17563216,0.17762098,0.35280868,799.41394,801.02563,801.02563,804.2491,807.47253,0.015441895,0.020874023,0.97277832,-1.786956787,-0.343933105,0.852355957,1,1,1,1,1,97,,0.39575535,0.51095974
11:23.6,0.7933711,0.6402795,-0.008670256,0.872404,0.21172275,0.029465167,-0.003718511,0.80917895,0.60988104,0.36486325,0.4676166,0.6131555,0.52594703,0.2729332,0.325593,0.35560164,0.4274526,0.22502255,-0.014725918,-0.013423475,805.4579,803.0403,805.8608,792.1612,769.19415,0.02331543,0.020446777,0.981201172,-0.485992432,-2.699127197,-0.897216797,1,1,1,1,1,97,,0.325593,0.52594703
11:24.7,0.79133457,0.18389235,0.16397218,1.0290338,0.7053688,-0.037564386,-0.15719573,0.7553063,0.7981678,0.3641279,0.2962902,0.82170993,0.6965351,0.26013952,0.24897873,0.3588639,0.3911627,0.19225186,-0.2525689,-0.03119166,804.65204,797.8022,796.99634,802.23444,860.65936,0.026611328,0.015869141,0.97253418,0.478515625,-1.600036621,0.418701172,1,1,1,1,1,97,,0.24897873,0.6965351
11:25.7,0.6808565,-0.045592856,0.07606591,1.1826681,0.5351112,0.003596645,-0.49114764,0.6942252,0.7750076,0.3146431,0.020037098,0.7174856,0.72135794,0.29944414,-0.03730309,0.4777143,0.49953648,0.17366375,-0.079928905,-0.03264655,822.381,805.4579,806.6667,807.47253,821.5751,0.030822754,0.028076172,0.975280762,-0.201873779,-1.764526367,-2.601928711,1,1,1,1,1,97,,-0.03730309,0.72135794
11:26.7,0.6696663,-0.032702442,0.11483567,0.8372875,-0.008133074,-0.07163434,-0.22699216,0.6122839,0.47948128,-0.22104555,0.36525214,0.24509187,0.6481635,0.25628772,-0.15650031,0.5607674,0.4006519,0.30514184,-0.13007516,-0.18338355,788.93774,803.8461,805.05493,818.7546,805.05493,0.049804688,0.030944824,0.973632813,-0.762634277,-1.757049561,0.403747559,1,1,1,1,1,97,,-0.15650031,0.6481635
11:27.7,-0.20055796,-0.022145886,0.05957889,0.8372875,0.1622545,-0.04333641,-0.19510491,0.6122839,0.39611867,0.07404558,0.38088617,0.24509187,0.8097353,0.31210104,-0.026227832,0.5607674,0.48150733,0.26510486,-0.13609284,-0.18338355,799.41394,794.9817,794.17584,800.6227,866.7033,0.062011719,0.026367188,0.976867676,0.13458252,-1.943969727,-0.284118652,1,1,1,1,1,97,,-0.026227832,0.8097353
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:28.7,0.0629088,0.15320848,0.0768632,0.5698837,0.19391581,-0.033844043,-0.086889654,0.71801,1.0960933,0.11947017,0.025313012,0.7290731,0.75648475,0.21086408,-0.22949815,0.42406648,0.5717454,0.16039766,-0.25188068,0.07084208,815.9341,803.44324,799.41394,802.23444,842.9304,0.062072754,0.032348633,0.982788086,0.074768066,-1.906585693,-1.114044189,1,1,1,1,1,97,,-0.22949815,0.75648475
11:29.7,0.26322776,0.2800273,0.19856165,0.5191663,0.29615065,0.18549143,0.07022306,0.6920814,1.0795135,0.27079025,0.21136528,0.67389446,0.77958024,0.24133554,0.22153,0.44778958,0.68322307,0.28680855,-0.04767347,0.08932144,801.4286,793.36993,795.78754,794.9817,674.90845,0.062255859,0.030700684,0.9765625,0.321502686,-2.265472412,-0.306549072,1,1,1,1,1,97,,0.22153,0.77958024
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:30.8,0.7822955,0.18714726,0.064686865,0.86490434,0.69915515,-0.1760906,0.12811323,0.92826784,0.16022426,0.46149212,0.7651319,0.58789873,0.7690132,0.24190828,0.14195149,0.4605787,0.41082948,0.21598195,-0.074607424,-0.076753445,802.6374,805.05493,802.23444,810.696,782.0879,0.063842773,0.027832031,0.975219727,-0.373840332,-1.996307373,-0.672912598,1,1,1,1,1,97,,0.14195149,0.7690132
11:31.8,0.84869945,0.10947454,0.2856643,0.86258864,0.82112586,0.09000542,0.28374866,0.9663966,0.13977748,0.29784223,0.76698107,0.47697347,0.7084108,0.19817069,0.122348204,0.42221433,0.4626033,0.16820483,0.002947622,-0.094080806,780.87915,795.38464,800.6227,796.5934,844.1392,0.069458008,0.033874512,0.983764648,-0.224304199,-1.95892334,-1.667327881,1,1,1,1,1,97,,0.122348204,0.7084108
11:32.8,0.33469734,0.022078328,-0.049573757,0.8417263,0.32335207,-0.11610488,-0.095043026,0.30151817,0.746345,0.015137298,0.32725346,0.770525,0.5341101,0.30654326,0.12986888,0.34332806,0.47109294,0.18394737,-0.020913698,0.021389307,800.6227,799.81683,796.1905,800.2198,715.2015,0.064697266,0.038330078,0.976928711,-0.216827393,-1.241149902,-0.418701172,1,1,1,1,1,97,,0.12986888,0.5341101
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:33.8,0.931173,0.10675282,0.16335188,1.0600451,1.0051187,-0.39972252,-0.29683647,1.0461925,1.5243473,0.12436891,0.11482706,1.4838699,0.56030774,0.34916827,0.060801174,0.3298194,0.5565839,0.2183968,-0.115879424,-0.04428616,710.7692,799.011,802.23444,731.31866,740.58606,0.059692383,0.026672363,0.985900879,0,-1.9140625,-0.620574951,1,1,1,1,1,97,,0.060801174,0.56030774
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:34.8,1.5496272,0.30217203,0.26801768,1.2074916,1.8743219,-0.1545579,-0.26024896,1.3248338,1.5277301,0.18219414,0.4804061,1.4838699,0.733226,0.4406424,0.39989176,0.37738752,0.51641524,0.232275,0.15098208,-0.026982524,814.3223,849.3773,842.9304,793.36993,813.91943,0.090698242,0.039794922,0.963134766,-0.523376465,-0.904693604,-0.276641846,1,1,1,1,1,97,,0.39989176,0.733226
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:35.8,1.5496272,0.2528764,0.22773288,1.2074916,1.8743219,0.09170593,-0.18311934,1.3248338,1.5277301,-0.046060603,0.4804061,1.4838699,0.733226,0.42479,0.6607367,0.37738752,0.51641524,0.15409212,0.38429233,-0.026982524,799.011,755.89746,773.6264,798.20514,795.78754,0.073181152,0.041259766,0.984802246,0.059814453,-1.772003174,-0.643005371,1,1,1,1,1,97,,0.6607367,0.733226
11:36.9,0.8105784,0.2528764,0.22773288,1.2236497,0.4565723,0.09170593,-0.18311934,0.17813563,0.5640492,-0.046060603,0.4804061,0.502539,0.6681297,0.42479,0.6607367,0.3110466,0.31933275,0.15409212,0.38429233,0.13881542,776.8498,769.19415,786.9231,784.5055,785.7143,0.063842773,0.039428711,0.979370117,0.029907227,-1.614990234,-0.650482178,1,1,1,1,1,97,,0.6607367,0.6681297
11:37.9,0.8772436,0.066002466,0.610558,1.2306666,0.43777034,-0.113242835,0.016924005,0.19205141,0.6172139,0.10131133,0.04232179,0.502539,0.59779644,0.20068109,0.102877535,0.29597542,0.26231128,0.30053854,-0.33390254,0.13303074,803.0403,780.4762,780.87915,797.3993,682.5641,0.063049316,0.03717041,0.984008789,-0.269165039,-1.607513428,-0.381317139,1,1,1,1,1,97,,0.102877535,0.59779644
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:38.9,1.0395983,0.009067914,0.337338,1.2427477,0.45559037,-0.24490349,0.15498303,0.19870834,0.5153266,-0.081695974,0.37126645,0.4241905,0.37000617,0.22933389,0.19933382,0.19691324,0.2476281,0.25900584,-0.13587062,0.10314761,805.8608,790.54944,795.78754,822.381,858.24176,0.062988281,0.038330078,0.980102539,0.157012939,-1.600036621,-0.84487915,1,1,1,1,1,97,,0.19933382,0.37000617
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:39.9,1.0395983,0.100717574,0.3025393,1.2427477,0.45559037,0.0247284,0.2956625,0.19870834,0.5153266,0.4516798,0.5546854,0.4241905,0.37000617,0.36808485,0.5838678,0.19691324,0.2476281,0.31508413,0.11704934,0.10314761,794.9817,803.0403,800.6227,803.8461,845.34796,0.064147949,0.027954102,0.973632813,0.186920166,-2.497253418,-0.142059326,1,1,1,1,1,97,,0.5838678,0.37000617
11:40.9,0.40146637,0.117681734,0.19424134,0.7634144,-0.042895485,0.08101914,-0.049832184,0.5455236,0.5138819,0.49301723,0.38730142,0.8912609,0.3380021,0.39616367,0.34980574,0.19474103,0.40327698,0.319834,-0.22464524,-0.03181029,787.72894,796.1905,799.41394,801.8315,749.45056,0.066162109,0.027893066,0.983154297,0.598144531,-3.401947021,-0.299072266,1,1,1,1,1,97,,0.34980574,0.3380021
11:42.0,0.52152926,0.16077073,-0.096547455,0.45691434,0.28050086,0.07900505,0.060820345,0.52838594,0.50693166,0.25454623,0.34561405,0.65884817,0.3818358,0.40594786,0.18677318,0.301566,0.39975265,0.34562683,-0.13167161,-0.09495071,792.96704,792.96704,801.8315,797.3993,638.6447,0.062683105,0.039611816,0.979370117,0.239257813,-2.392578125,-0.82244873,1,1,1,1,1,97,,0.18677318,0.3818358
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:43.0,0.61669755,-0.06908546,-0.069299415,0.59439325,0.4814332,-0.029982567,-4.19E-04,0.65471673,0.52871287,0.28668082,0.6420483,0.49592698,0.5593888,0.3413207,0.33060262,0.3019361,0.41254985,0.3700874,-0.057348542,-0.20107222,819.5604,798.20514,801.4286,826.4103,792.5641,0.065124512,0.032287598,0.976928711,-0.06729126,-2.071075439,-0.321502686,1,1,1,1,1,97,,0.33060262,0.5593888
11:44.0,0.45683488,0.17106864,0.027791278,0.52507734,0.5255152,0.12953441,0.24303025,0.6508442,0.51552176,0.5264064,0.7409621,0.43916953,0.6513714,0.32128242,0.46480754,0.2598255,0.28840712,0.3682893,0.3757714,-0.16025634,809.0842,797.8022,802.23444,790.14655,813.91943,0.056945801,0.034851074,0.978088379,0.897216797,-1.547698975,-0.785064697,1,1,1,1,1,97,,0.46480754,0.6513714
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:45.1,0.54457825,0.1710916,0.15009972,1.2064687,-0.087010875,0.09455726,0.16917802,0.8286474,0.45785096,0.49146804,0.596024,0.51911354,0.5331129,0.26713094,0.31176433,0.5412013,0.16948327,0.34454063,0.31209058,-0.15672125,818.3516,801.02563,793.7729,812.3077,861.4652,0.057861328,0.028869629,0.984985352,0.276641846,0.127105713,-0.08972168,1,1,1,1,1,97,,0.31176433,0.5331129
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:46.1,2.0268788,0.17954089,0.03157476,2.0446615,2.1069064,0.16847493,0.30651394,1.9893603,1.4988955,0.21446566,0.48710683,1.3478203,0.7751506,0.39238805,0.7395591,0.6490441,0.43939817,0.32066008,0.43804663,-0.034993686,795.38464,802.23444,802.23444,830.4396,813.91943,0.047302246,0.029968262,0.979431152,0.171966553,-2.549591064,-0.575714111,1,1,1,1,1,97,,0.7395591,0.7751506
11:47.1,2.028468,0.31706926,-0.031382337,2.0446615,2.1100743,-0.0630285,0.07479343,1.9893603,1.4988955,0.08248404,0.38778016,1.3478203,0.7473134,0.3198059,0.8406796,0.6490441,0.45690593,0.31669295,0.5435628,-0.034993686,782.0879,796.99634,797.3993,782.49084,735.7509,0.064086914,0.017700195,1.006408691,-2.82623291,-0.88973999,-3.768310547,1,1,1,1,1,97,,0.8406796,0.7473134
11:48.1,0.617824,0.16489735,-0.10433512,0.8435107,0.4319259,-0.019013604,-0.22406407,0.43146428,0.843454,0.25884336,0.25078553,0.7201309,0.6022619,0.24936871,0.3274947,0.4157298,0.39287862,0.2776243,0.31665057,-9.56E-04,801.8315,796.5934,799.41394,801.8315,872.74725,0.047119141,0.025695801,0.978088379,0.620574951,-3.529052734,-1.211242676,1,1,1,1,1,97,,0.3274947,0.6022619
11:49.2,0.48075205,0.233073,-0.046919435,1.0522404,0.010315777,-0.016990243,-0.6178493,0.5279196,0.43793717,0.23923111,0.2231542,0.7379906,0.541226,0.21075702,0.10432095,0.39070833,0.22981314,0.32074934,-0.21437871,-0.17030379,797.3993,799.011,797.3993,781.28204,596.7399,0.050720215,0.040527344,0.975463867,0.755157471,-3.76083374,-2.011260986,1,1,1,1,1,97,,0.10432095,0.541226
11:50.2,0.44832245,0.29005525,0.09544391,0.8279572,0.06922694,-0.009146296,-0.23795545,0.4519473,0.3577242,0.14389719,0.2132824,0.55892825,0.5147989,0.17476207,0.073517635,0.37373844,0.26630425,0.3118742,-0.21735822,-0.03747386,798.20514,798.60803,793.36993,801.4286,937.619,0.062805176,0.041320801,0.980651855,-0.246734619,-2.00378418,-1.300964355,1,1,1,1,1,97,,0.073517635,0.5147989
11:51.2,0.2052839,0.00333476,0.037721217,0.9167074,0.1955093,-0.3309151,-0.17854214,0.38356355,0.5465722,0.19429131,0.2526019,0.840721,0.46009845,0.23949283,-0.14766766,0.2466989,0.45570302,0.34979615,-0.19278008,-0.2207449,793.36993,790.9524,794.57874,778.46155,751.4652,0.05871582,0.039428711,0.981140137,0.007476807,-2.287902832,-0.904693604,1,1,1,1,1,97,,-0.14766766,0.46009845
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:52.2,0.15483597,0.11965687,-0.067314215,0.8811373,0.049661197,0.14390597,0.06325024,0.33922783,0.38350478,0.10586263,0.40088135,0.78596824,0.39286885,0.21712635,0.33436033,0.28958666,0.51626045,0.27906242,0.14614362,-0.29741496,809.89014,802.6374,799.41394,794.9817,873.5531,0.05859375,0.040893555,0.974304199,-0.291595459,-1.076660156,-0.829925537,1,1,1,1,1,97,,0.33436033,0.39286885
11:53.3,0.26312926,0.43628874,0.12937914,0.87792236,-0.050598197,0.17669697,0.12635513,0.25124848,0.20349686,0.02832064,0.5185877,0.6633722,0.4683235,0.20335662,0.679357,0.30697966,0.5224688,0.29206398,0.4770415,-0.31557423,807.8755,796.5934,793.7729,801.02563,767.98535,0.059326172,0.038513184,0.977661133,0.650482178,-2.041168213,-0.485992432,1,1,1,1,1,97,,0.679357,0.4683235
11:54.3,-0.03904184,0.062020227,-0.16619341,0.8598386,-0.23378961,-0.05222633,-0.2139478,0.45579293,0.38008586,0.1414345,0.35005888,0.39067376,0.37892446,0.3039127,0.21209306,0.18756725,0.28182238,0.31735972,-0.004661671,-0.20216964,788.5348,797.3993,800.6227,782.8938,832.8571,0.054870605,0.043640137,0.977539063,-0.007476807,-1.719665527,-0.628051758,1,1,1,1,1,97,,0.21209306,0.37892446
11:55.3,-0.05129169,-0.6961947,-0.34947956,0.96198034,-0.0790521,0.043153662,-0.1092785,0.45306295,0.8125605,0.43748966,0.31636208,0.49480852,0.41768506,0.27721393,0.2570206,0.12026618,0.33885503,0.33100516,-0.09582921,-0.19793847,806.6667,798.20514,796.1905,783.2967,849.3773,0.055786133,0.036376953,0.983093262,0.059814453,-1.659851074,0.06729126,1,1,1,1,1,97,,0.2570206,0.41768506
11:56.3,-0.1598923,-0.5644368,-0.5401063,0.87188256,0.19286726,-0.10087693,-0.08626727,0.3377305,0.86172837,0.41454482,0.45149228,0.57798105,0.43938264,0.3383159,0.41192055,0.31046638,0.24583861,0.36323527,-0.048656374,-0.19320753,788.5348,797.8022,798.20514,799.011,736.55676,0.065612793,0.04309082,0.975952148,0.052337646,-2.213134766,-0.463562012,1,1,1,1,1,97,,0.41192055,0.43938264
11:57.3,-4.09E-04,-0.409861,-0.4239983,0.51718533,0.18243037,-0.18566135,-0.031182913,-0.05095809,0.824379,0.18053462,0.41102624,0.54600424,0.25244474,0.36237368,0.24398386,0.30539194,0.21854916,0.28992787,0.051172506,-0.16262747,774.0293,799.41394,799.41394,770,749.45056,0.062316895,0.050109863,0.981262207,0.650482178,-2.138366699,-0.441131592,1,1,1,1,1,97,,0.24398386,0.25244474
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:58.3,0.16049586,-0.06659296,-0.24138094,0.5521961,0.077857435,-0.12126158,-0.3832629,0.037097413,0.683986,0.32277188,0.014366111,0.45935503,0.12708561,0.3039784,0.17249927,0.23914908,0.29664662,0.30154526,-0.034269173,-0.10224064,790.14655,805.8608,797.8022,807.47253,855.42126,0.064025879,0.051696777,0.981262207,0.403747559,0,-0.104675293,1,1,1,1,1,97,,0.17249927,0.12708561
11:59.3,-0.40516344,-0.072920375,-0.07415485,0.7784098,-0.07750156,-0.7666496,-0.42996478,0.15533192,0.55470526,0.3342936,-0.046693996,0.42896605,0.41598102,0.12760213,0.14098369,0.35528567,0.36666563,0.25956392,-0.1425157,-0.21267639,790.9524,808.68134,796.5934,790.9524,902.5641,0.063049316,0.056762695,0.977050781,0.082244873,-2.818756104,-0.433654785,1,1,1,1,1,97,,0.14098369,0.41598102
12:00.4,-0.08348366,-0.19640657,-0.11661645,0.97888815,0.18806848,-0.35243607,-0.34515786,0.19336204,0.62714136,0.290632,-0.051291425,0.5208736,0.42961213,0.08014545,0.068188556,0.3641798,0.27477854,0.18470259,-0.08219279,-0.08744484,795.38464,793.7729,801.8315,797.3993,864.2857,0.065979004,0.048156738,0.975769043,0.508422852,-2.272949219,-0.523376465,1,1,1,1,1,97,,0.068188556,0.42961213
